"idimdb","title","release","runtime","budget","revenue","poster","rating"
"tt0107290","Jurassic Park","1993-06-11","127","63000000","920100000","https://image.tmdb.org/t/p/original/oU7Oq2kFAAlGqbU4VoAE36g4hoI.jpg","8.1"
"tt0109830","Forrest Gump","1994-07-06","142","55000000","677387716","https://image.tmdb.org/t/p/original/saHP97rTPS5eLmrLQEcANmKrsFl.jpg","8.8"
"tt0110357","The Lion King","1994-06-23","89","45000000","763455561","https://image.tmdb.org/t/p/original/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg","8.5"
"tt0110475","The Mask","1994-07-29","101","23000000","351583407","https://image.tmdb.org/t/p/original/xbbXp9px4o8Oe7IbGd0yIbla8mZ.jpg","6.9"
"tt0111161","The Shawshank Redemption","1994-09-23","142","25000000","28341469","https://image.tmdb.org/t/p/original/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg","9.3"
"tt0112431","Babe","1995-07-18","91","30000000","254134910","https://image.tmdb.org/t/p/original/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg","6.8"
"tt0112442","Bad Boys","1995-04-07","119","19000000","141407024","https://image.tmdb.org/t/p/original/x1ygBecKHfXX4M2kRhmFKWfWbJc.jpg","6.8"
"tt0112642","Casper","1995-05-26","100","50000000","287928194","https://image.tmdb.org/t/p/original/2ah8fNJFZVU3vcXhU5xfAYi2eym.jpg","6.1"
"tt0113114","Free Willy 2: The Adventure Home","1995-07-19","95","31000000","30000000","https://image.tmdb.org/t/p/original/3wpug3W5rYBdqeAnhc1UeXLE5ZF.jpg","5.1"
"tt0113198","A Goofy Movie","1995-04-07","78","18000000","35348597","https://image.tmdb.org/t/p/original/bycmMhO3iIoEDzP768sUjq2RV4T.jpg","6.9"
"tt0113442","It Takes Two","1995-11-17","101","0","19474589","https://image.tmdb.org/t/p/original/sdes5TrRbymELYLG85YIxmFb1OP.jpg","5.9"
"tt0113497","Jumanji","1995-12-15","104","65000000","262797249","https://image.tmdb.org/t/p/original/6aGn2X51bahFoOI8wE1h2VGTgcH.jpg","7"
"tt0114148","Pocahontas","1995-06-14","85","55000000","346079773","https://image.tmdb.org/t/p/original/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg","6.7"
"tt0114369","Se7en","1995-09-22","127","33000000","327311859","https://image.tmdb.org/t/p/original/69Sns8WoET6CfaYlIkHbla4l7nC.jpg","8.6"
"tt0114709","Toy Story","1995-10-30","81","30000000","373554033","https://image.tmdb.org/t/p/original/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg","8.3"
"tt0115433","101 Dalmatians","1996-11-27","103","54000000","320689294","https://image.tmdb.org/t/p/original/8o2ADoAyG796UwTjwBFjPyBz0yG.jpg","5.7"
"tt0115491","Aladdin and the King of Thieves","1996-05-20","81","0","0","https://image.tmdb.org/t/p/original/kTH7qEyvdDYMoQraQZm3LFKCge3.jpg","6.4"
"tt0116583","The Hunchback of Notre Dame","1996-06-21","91","100000000","325338851","https://image.tmdb.org/t/p/original/r7V92gY3AMO6li17MmGTixAnFcv.jpg","7"
"tt0117008","Matilda","1996-08-02","98","36000000","33459416","https://image.tmdb.org/t/p/original/wnLbqoGRGdnPNjMV6rY75wgRamd.jpg","6.9"
"tt0117509","Romeo + Juliet","1996-11-01","120","14500000","147298761","https://image.tmdb.org/t/p/original/zWLZEUE0jrTiLhWQVh8NOJRwIU9.jpg","6.7"
"tt0117705","Space Jam","1996-11-15","88","80000000","250200000","https://image.tmdb.org/t/p/original/6h3FIr5CQFCBV8Xrv7XZLZbIQR0.jpg","6.5"
"tt0118665","Baby Geniuses","1999-03-12","97","12000000","36450736","https://image.tmdb.org/t/p/original/70EpKntF6KrN2X38oVLCL9e8WBQ.jpg","2.7"
"tt0118929","Dark City","1998-02-27","100","27000000","27200316","https://image.tmdb.org/t/p/original/AdBe2ow8hdlT2aLBYuUjs0Xkqkw.jpg","7.6"
"tt0119099","Fallen","1998-01-16","124","46000000","25232289","https://image.tmdb.org/t/p/original/6PAcOBxEZi9LgJzjhw5Sb14yqO3.jpg","7"
"tt0119282","Hercules","1997-06-20","93","85000000","252712101","https://image.tmdb.org/t/p/original/16JPL3c6ET7ibfO35WjjWxCaVmj.jpg","7.3"
"tt0120363","Toy Story 2","1999-10-30","92","90000000","497366869","https://image.tmdb.org/t/p/original/xVhEI1WCgNCCa5I86AqiwuZoog3.jpg","7.9"
"tt0120623","A Bug's Life","1998-11-25","95","120000000","363258859","https://image.tmdb.org/t/p/original/hFamOus53922agTlKxhcL7ngJ9h.jpg","7.2"
"tt0120689","The Green Mile","1999-12-10","189","60000000","286801374","https://image.tmdb.org/t/p/original/velWPhVMQeQKcxggNEU8YmIo52R.jpg","8.6"
"tt0120762","Mulan","1998-06-18","88","90000000","304320254","https://image.tmdb.org/t/p/original/5TYgKxYhnhRNNwqnRAKHkgfqi2G.jpg","7.7"
"tt0120783","The Parent Trap","1998-07-28","128","15000000","92108518","https://image.tmdb.org/t/p/original/a3XOGrrAjl1wwiumtACWBufg6AL.jpg","6.6"
"tt0120794","The Prince of Egypt","1998-12-16","99","70000000","218613188","https://image.tmdb.org/t/p/original/2xUjYwL6Ol7TLJPPKs7sYW5PWLX.jpg","7.1"
"tt0120855","Tarzan","1999-06-18","88","130000000","448191819","https://image.tmdb.org/t/p/original/a0Syo09bmNJgehjfeVL6meR9Mjh.jpg","7.3"
"tt0120915","Star Wars: Episode I - The Phantom Menace","1999-05-19","136","115000000","924317558","https://image.tmdb.org/t/p/original/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg","6.5"
"tt0120917","The Emperor's New Groove","2000-12-15","78","100000000","169327687","https://image.tmdb.org/t/p/original/wwbgkXQBEKtnyIJapk6gUgWkVw8.jpg","7.4"
"tt0121765","Star Wars: Episode II - Attack of the Clones","2002-05-15","142","120000000","649398328","https://image.tmdb.org/t/p/original/oZNPzxqM2s5DyVWab09NTQScDQt.jpg","6.5"
"tt0121766","Star Wars: Episode III - Revenge of the Sith","2005-05-17","140","113000000","850000000","https://image.tmdb.org/t/p/original/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg","7.5"
"tt0126029","Shrek","2001-05-18","90","60000000","487853320","https://image.tmdb.org/t/p/original/iB64vpL3dIObOtMZgX3RqdVdQDc.jpg","7.9"
"tt0133240","Treasure Planet","2002-11-26","95","140000000","109578115","https://image.tmdb.org/t/p/original/zMKatZ0c0NCoKzfizaCzVUcbKMf.jpg","7.2"
"tt0164912","Stuart Little","1999-12-17","84","133000000","300135367","https://image.tmdb.org/t/p/original/niZSfupE9XR7GmEUq2XdURVH66T.jpg","5.9"
"tt0166090","Babar: King of the Elephants","1999-04-28","80","0","0","https://image.tmdb.org/t/p/original/4oa1JozwObjz06Dxunu6E1I5v02.jpg","6.1"
"tt0166813","Spirit: Stallion of the Cimarron","2002-05-24","83","80000000","122563539","https://image.tmdb.org/t/p/original/cUgYrz4twiJ3QgVGpRfey984NIB.jpg","7.2"
"tt0170016","How the Grinch Stole Christmas","2000-11-17","104","123000000","345141403","https://image.tmdb.org/t/p/original/1WZbbPApEivA421gCOluuzMMKCk.jpg","6.2"
"tt0181627","Kirikou et la sorcière","1998-12-09","70","4495000","0","https://image.tmdb.org/t/p/original/9RNrozaagFmpm6m0CP7q4XDcIXj.jpg","7.5"
"tt0198781","Monsters, Inc.","2001-11-01","92","115000000","562816256","https://image.tmdb.org/t/p/original/sgheSKxZkttIe8ONsf2sWXPgip3.jpg","8.1"
"tt0206013","ホーホケキョ となりの山田くん","1999-07-17","104","0","0","https://image.tmdb.org/t/p/original/wTGuHmMIBBgKakY80J1D52VvQKI.jpg","7.2"
"tt0227538","Spy Kids","2001-03-18","88","35000000","147934180","https://image.tmdb.org/t/p/original/urb5Wf4yffJQ2KwAuSPxCbOM8HA.jpg","5.5"
"tt0230011","Atlantis: The Lost Empire","2001-06-02","95","120000000","186053725","https://image.tmdb.org/t/p/original/iqGKNML7IUqw4wVNobkpkeYZbUQ.jpg","6.9"
"tt0239395","Cats & Dogs","2001-07-04","87","60000000","93375151","https://image.tmdb.org/t/p/original/77dmCJelVTBPBwbTppiisQx0e82.jpg","5.2"
"tt0243585","Stuart Little 2","2002-07-19","78","120000000","169956806","https://image.tmdb.org/t/p/original/hjfeMLWqJY44mqqJKZSa6jx4Y1j.jpg","5.5"
"tt0249677","Lady and the Tramp II: Scamp's Adventure","2001-02-18","69","0","0","https://image.tmdb.org/t/p/original/nS3nhUZUSY8dWEsRmKILfiOC3F0.jpg","5.9"
"tt0266543","Finding Nemo","2003-05-30","100","94000000","940335536","https://image.tmdb.org/t/p/original/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg","8.1"
"tt0268380","Ice Age","2002-03-10","81","59000000","383257136","https://image.tmdb.org/t/p/original/gLhHHZUzeseRXShoDyC4VqLgsNv.jpg","7.5"
"tt0268397","Jimmy Neutron: Boy Genius","2001-12-21","83","25000000","80936232","https://image.tmdb.org/t/p/original/pUwdquA6Bf3Gq8yT5iQL1Yq0jkl.jpg","6"
"tt0275847","Lilo & Stitch","2002-06-21","85","80000000","273144151","https://image.tmdb.org/t/p/original/d73UqZWyw3MUMpeaFcENgLZ2kWS.jpg","7.3"
"tt0279967","Mulan II","2004-11-03","79","0","0","https://image.tmdb.org/t/p/original/8cUIHYXpDFYX6r5ZviQuRKCVLJ2.jpg","5.7"
"tt0283426","The Jungle Book 2","2003-02-07","72","20000000","135680000","https://image.tmdb.org/t/p/original/DhuskQc9lSjPiYKr9hy0AZ7uiC.jpg","5.4"
"tt0286112","少林足球","2001-07-05","113","10000005","42776760","https://image.tmdb.org/t/p/original/kVpq68NxChzynK7otaymRSaWR8p.jpg","7.3"
"tt0287717","Spy Kids 2: The Island of Lost Dreams","2002-08-07","100","38000000","119723358","https://image.tmdb.org/t/p/original/A6gkSQVkbUiSCq7C9kexlJF8GdI.jpg","5.2"
"tt0288441","Barbie in the Nutcracker","2001-09-30","76","0","0","https://image.tmdb.org/t/p/original/eIkXJggVmzN4MyPgJ2kDjOy9lmQ.jpg","6.3"
"tt0298148","Shrek 2","2004-05-19","93","150000000","928760770","https://image.tmdb.org/t/p/original/2yYP0PQjG8zVqturh1BAqu2Tixl.jpg","7.2"
"tt0299172","Home on the Range","2004-04-02","76","110000000","103951461","https://image.tmdb.org/t/p/original/9xIIo4FMquy5SRqn8hppyr2QadR.jpg","5.4"
"tt0307453","Shark Tale","2004-09-20","90","75000000","367275019","https://image.tmdb.org/t/p/original/r08DpyPyhXcJTfNZAICNGMzcQ8l.jpg","6"
"tt0312004","Wallace & Gromit: The Curse of the Were-Rabbit","2005-09-04","85","30000000","192610372","https://image.tmdb.org/t/p/original/cMQ2lNd7sBe6PCf6zF5QxrKzbRG.jpg","7.4"
"tt0313255","Barbie as Rapunzel","2002-10-01","84","0","0","https://image.tmdb.org/t/p/original/ysiGzuMSc0nFmmDPn9z7U7YSFYf.jpg","6.5"
"tt0317219","Cars","2006-06-08","117","120000000","461983149","https://image.tmdb.org/t/p/original/qa6HCwP4Z15l3hpsASz3auugEW6.jpg","7.1"
"tt0317705","The Incredibles","2004-10-27","115","92000000","631442092","https://image.tmdb.org/t/p/original/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg","8"
"tt0318403","The Lion King 1½","2004-02-06","77","0","0","https://image.tmdb.org/t/p/original/sVJME5R1NmTXtbdnAxYPx7Xa7kr.jpg","6.5"
"tt0324941","101 Dalmatians II: Patch's London Adventure","2003-03-02","74","0","0","https://image.tmdb.org/t/p/original/mcl56J7tDPjzEesgpX4UPgAdbvf.jpg","5.8"
"tt0325980","Pirates of the Caribbean: The Curse of the Black Pearl","2003-07-09","143","140000000","655011224","https://image.tmdb.org/t/p/original/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg","8"
"tt0327084","Over the Hedge","2006-05-17","83","80000000","343397247","https://image.tmdb.org/t/p/original/6qKM3Rl1tQgOFO1fMA7DAizWZ5n.jpg","6.7"
"tt0328880","Brother Bear","2003-10-23","85","128000000","250397798","https://image.tmdb.org/t/p/original/9VvLgj28J5m04y5gO0mt5np4yF8.jpg","6.8"
"tt0331632","Scooby-Doo 2: Monsters Unleashed","2004-03-24","93","80000000","181466833","https://image.tmdb.org/t/p/original/5BrXCJrs22bR5KR6mLHluYo6y4m.jpg","5.2"
"tt0335266","Lost in Translation","2003-09-18","102","4000000","119723856","https://image.tmdb.org/t/p/original/wkSzJs7oMf8MIr9CQVICsvRfwA7.jpg","7.7"
"tt0338348","The Polar Express","2004-11-10","100","165000000","310634054","https://image.tmdb.org/t/p/original/zCuq1sy3xwbJJytFttp2qItqdc8.jpg","6.6"
"tt0338459","Spy Kids 3-D: Game Over","2003-07-25","84","38000000","197011982","https://image.tmdb.org/t/p/original/oP53PyexPlQd1xDt8kkvX5LdQdT.jpg","4.3"
"tt0344854","Arthur et les Minimoys","2006-12-13","94","86000000","107944236","https://image.tmdb.org/t/p/original/gH27K0S7BiZCsNMxzOQTacG9IZp.jpg","6"
"tt0347149","ハウルの動く城","2004-09-09","119","24000000","236049757","https://image.tmdb.org/t/p/original/yeJ5Nj1k2NA0bBZjkZ10PvQKjTD.jpg","8.2"
"tt0347618","猫の恩返し","2002-07-19","75","0","54016370","https://image.tmdb.org/t/p/original/pqyY7IEWkCWNZ7EuRStQaJITEta.jpg","7.2"
"tt0348878","T'choupi","2004-04-07","70","0","0","https://image.tmdb.org/t/p/original/p5dPk9rWDIMGTVtunyziWFPz3lq.jpg","6.2"
"tt0351283","Madagascar","2005-05-25","86","75000000","542063846","https://image.tmdb.org/t/p/original/uHkmbxb70IQhV4q94MiBe9dqVqv.jpg","6.9"
"tt0358082","Robots","2005-03-10","91","75000000","262511490","https://image.tmdb.org/t/p/original/bS94Dt0FKW1463UQyv78MVOw6Pf.jpg","6.4"
"tt0366548","Happy Feet","2006-11-16","108","100000000","384335608","https://image.tmdb.org/t/p/original/za41IHkj6LnkilfTzv5B2qmthKD.jpg","6.4"
"tt0367594","Charlie and the Chocolate Factory","2005-07-13","115","150000000","474968763","https://image.tmdb.org/t/p/original/wfGfxtBkhBzQfOZw4S8IQZgrH0a.jpg","6.6"
"tt0371823","Mickey, Donald, Goofy: The Three Musketeers","2004-08-04","68","0","0","https://image.tmdb.org/t/p/original/23bvOwfOS9fw347Yc68yPpkmd8i.jpg","6.4"
"tt0372784","Batman Begins","2005-06-10","140","150000000","374218673","https://image.tmdb.org/t/p/original/8RW2runSEc34IwKN2D1aPcJd2UL.jpg","8.2"
"tt0375568","Astro Boy","2009-10-15","94","10000000","19551067","https://image.tmdb.org/t/p/original/fYOJaaCpqq1NatziVJntmsXXDi8.jpg","6.3"
"tt0382932","Ratatouille","2007-06-28","111","150000000","623726000","https://image.tmdb.org/t/p/original/npHNjldbeTHdKKw28bJKs7lzqzj.jpg","8"
"tt0383060","Zoom","2006-08-11","83","75600000","12506188","https://image.tmdb.org/t/p/original/v4rSFmiy0v9D7qmKkaUVJn5UhZ1.jpg","4.3"
"tt0383574","Pirates of the Caribbean: Dead Man's Chest","2006-07-06","151","200000000","1065659812","https://image.tmdb.org/t/p/original/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg","7.3"
"tt0385700","Final Fantasy VII: Advent Children","2005-07-14","101","0","0","https://image.tmdb.org/t/p/original/pTIXM2yu8McSlcQVs1VjVSNC45x.jpg","7.2"
"tt0389790","Bee Movie","2007-10-28","91","150000000","287594577","https://image.tmdb.org/t/p/original/rYBaXgvTKFS8iZC7Wr8SMomSauQ.jpg","6.1"
"tt0396555","Meet the Robinsons","2007-03-23","95","150000000","169332978","https://image.tmdb.org/t/p/original/swsjj0jZtsx53Yp9zBORPwsmGWj.jpg","6.8"
"tt0397892","Bolt","2008-11-21","98","150000000","309979994","https://image.tmdb.org/t/p/original/z9VHoUcZ1GiH3f3qYz7Me7Zc1Fd.jpg","6.8"
"tt0398286","Tangled","2010-11-24","100","260000000","592461732","https://image.tmdb.org/t/p/original/ym7Kst6a4uodryxqbGOxmewF235.jpg","7.7"
"tt0413267","Shrek the Third","2007-05-17","93","160000000","813367380","https://image.tmdb.org/t/p/original/n4SexGGQzI26E269tfpa80MZaGV.jpg","6.1"
"tt0413895","Charlotte's Web","2006-12-07","97","85000000","144000000","https://image.tmdb.org/t/p/original/gqg3ruuEDQ6XmXjFGrTDrk58xJg.jpg","6.3"
"tt0414853","Barnyard","2006-08-04","90","51000000","116476887","https://image.tmdb.org/t/p/original/qlSCUmrflADYlCMbkviJjfujhTH.jpg","5.6"
"tt0416236","The Spiderwick Chronicles","2008-02-14","95","90000000","164170327","https://image.tmdb.org/t/p/original/uN7MUMaCXfa8DbMMp61A8iXEcEG.jpg","6.5"
"tt0416908","Lauras Stern","2004-09-19","75","0","0","https://image.tmdb.org/t/p/original/6MmTM4LYJqjw5agrTwjBSpSNgTm.jpg","6.2"
"tt0420238","The Tale of Despereaux","2008-12-18","93","60000000","86947965","https://image.tmdb.org/t/p/original/v7g38bMYiZBL6lged8Xe9jI9uDM.jpg","6.1"
"tt0423294","Surf's Up","2007-06-08","85","85000000","149044513","https://image.tmdb.org/t/p/original/tTDsCVlDA8QR4Dc6t6nERfwl5z.jpg","6.7"
"tt0424095","Flushed Away","2006-10-22","85","149000000","178120010","https://image.tmdb.org/t/p/original/5h0z7gFhVDgzFZOnfDMU1bcKjiG.jpg","6.6"
"tt0424774","The Adventures of Sharkboy and Lavagirl","2005-06-10","92","50000000","71992655","https://image.tmdb.org/t/p/original/wyXPANZMYYbKh8Ic8qFLqMkolyV.jpg","3.7"
"tt0426955","Barbie as The Princess & the Pauper","2004-09-28","85","0","0","https://image.tmdb.org/t/p/original/xHYsUwUe4MaNc6mbNBGTkqZSnPk.jpg","6.9"
"tt0427229","Failure to Launch","2006-03-10","97","50000000","128406887","https://image.tmdb.org/t/p/original/wQrNTe7VDytVDet9Jus6RDKEPYZ.jpg","5.6"
"tt0435761","Toy Story 3","2010-06-16","103","200000000","1066969703","https://image.tmdb.org/t/p/original/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg","8.2"
"tt0436339","G-Force","2009-07-21","88","150000000","292817841","https://image.tmdb.org/t/p/original/4CTxlU4JGSqq0yxi5ZVtAu5zsHE.jpg","5.1"
"tt0437777","Something New","2006-01-29","99","0","11400000","https://image.tmdb.org/t/p/original/w1nURdrpMLdUbcb67BUy77syi04.jpg","6.6"
"tt0441773","Kung Fu Panda","2008-06-04","90","130000000","631744560","https://image.tmdb.org/t/p/original/wWt4JYXTg5Wr3xBW2phBrMKgp3x.jpg","7.6"
"tt0447854","Bambi II","2006-01-26","72","0","0","https://image.tmdb.org/t/p/original/wIVLCnwYynKIiAheJoEQtC8gTjq.jpg","6.1"
"tt0448115","Shazam!","2019-03-29","132","80000000","365971656","https://image.tmdb.org/t/p/original/xnopI5Xtky18MPhK40cZAGAOVeV.jpg","7"
"tt0448694","Puss in Boots","2011-10-28","90","130000000","554987477","https://image.tmdb.org/t/p/original/eufJ36oQCauDc427ewaEvQrhZ6i.jpg","6.6"
"tt0450982","Barbie: Fairytopia","2005-03-08","70","0","0","https://image.tmdb.org/t/p/original/a0VPQHpLNCWWmiXwjD7aJVRaH78.jpg","6"
"tt0451279","Wonder Woman","2017-05-30","141","149000000","822854286","https://image.tmdb.org/t/p/original/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg","7.4"
"tt0453556","TMNT","2007-03-23","87","34000000","95608995","https://image.tmdb.org/t/p/original/ksguZE9rTtsRJlhTO59WNmPNjOR.jpg","6.2"
"tt0470982","Air Buddies","2006-12-12","80","9000000","0","https://image.tmdb.org/t/p/original/7eRiBonjI6PxlXIMGkzxtL2pvU6.jpg","4.8"
"tt0472181","The Smurfs","2011-07-29","103","110000000","563749323","https://image.tmdb.org/t/p/original/vRhnslP2gW0QDym7BsMeSuioUfK.jpg","5.4"
"tt0477347","Night at the Museum","2006-10-20","108","110000000","574480841","https://image.tmdb.org/t/p/original/uY9k8t2FQkMj60obnAnsPKLxHCE.jpg","6.4"
"tt0478970","Ant-Man","2015-07-14","117","130000000","519311965","https://image.tmdb.org/t/p/original/cj2gWN7TdH1iUG6pUQyqv9N2AXc.jpg","7.3"
"tt0479952","Madagascar: Escape 2 Africa","2008-10-30","89","150000000","603900354","https://image.tmdb.org/t/p/original/agRbLOHgN46TQO4YdKR462iR7To.jpg","6.6"
"tt0481499","The Croods","2013-03-15","98","135000000","587204668","https://image.tmdb.org/t/p/original/pBn3zbixFgX11lZ84KJgLoELfYd.jpg","7.2"
"tt0499549","Avatar","2009-12-15","162","237000000","2147483647","https://image.tmdb.org/t/p/original/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg","7.9"
"tt0765465","The Legend of Secret Pass","2010-10-14","92","25400000","0","https://image.tmdb.org/t/p/original/dFC6tJmIeAAR6RrPGqVR3fyPQeO.jpg","5"
"tt0780521","The Princess and the Frog","2009-12-08","98","105000000","270997378","https://image.tmdb.org/t/p/original/yprv5PbnEksoVj2v6XEnDBg9joR.jpg","7.1"
"tt0823671","Tinker Bell","2008-09-11","78","48000000","0","https://image.tmdb.org/t/p/original/3Ma0r1n8kfH7UaQMS7bJ9KsYUjT.jpg","6.8"
"tt0837562","Hotel Transylvania","2012-09-20","91","85000000","358375603","https://image.tmdb.org/t/p/original/eJGvzGrsfe2sqTUPv5IwLWXjVuR.jpg","7.1"
